Bank Type,Asset or Liability,Type,date,value
smalldom,Memoranda,Net unrealized gains (losses) on available-for-sale securities ,2020-01-01,4.8
smalldom,Memoranda,Net unrealized gains (losses) on available-for-sale securities ,2020-02-01,8.6
smalldom,Memoranda,Net unrealized gains (losses) on available-for-sale securities ,2020-03-01,11.8
smalldom,Memoranda,Net unrealized gains (losses) on available-for-sale securities ,2020-04-01,11.7
smalldom,Memoranda,Net unrealized gains (losses) on available-for-sale securities ,2020-05-01,13.5
smalldom,Memoranda,Net unrealized gains (losses) on available-for-sale securities ,2020-06-01,14.7
smalldom,Memoranda,Net unrealized gains (losses) on available-for-sale securities ,2020-07-08,15.3
smalldom,Memoranda,Net unrealized gains (losses) on available-for-sale securities ,2020-07-15,15.4
smalldom,Memoranda,Net unrealized gains (losses) on available-for-sale securities ,2020-07-22,15.4
smalldom,Memoranda,Net unrealized gains (losses) on available-for-sale securities ,2020-07-29,15.6
smalldom,Memoranda,U.S. Treasury and agency securities MBS ,2019-06-01,-0.2
smalldom,Memoranda,U.S. Treasury and agency securities MBS ,2019-12-01,2.4
smalldom,Memoranda,U.S. Treasury and agency securities MBS ,2020-01-01,2.3
smalldom,Memoranda,U.S. Treasury and agency securities MBS ,2020-02-01,4.9
smalldom,Memoranda,U.S. Treasury and agency securities MBS ,2020-03-01,7.8
smalldom,Memoranda,U.S. Treasury and agency securities MBS ,2020-04-01,9.9
smalldom,Memoranda,U.S. Treasury and agency securities MBS ,2020-05-01,10.9
smalldom,Memoranda,U.S. Treasury and agency securities MBS ,2020-06-01,10.1
smalldom,Memoranda,U.S. Treasury and agency securities MBS ,2020-07-08,10.1
smalldom,Memoranda,U.S. Treasury and agency securities MBS ,2020-07-15,10.1
smalldom,Memoranda,U.S. Treasury and agency securities MBS ,2020-07-22,10.1
smalldom,Memoranda,U.S. Treasury and agency securities MBS ,2020-07-29,10
foreign,Assets,Bank credit,2019-06-01,1034.3
foreign,Assets,Bank credit,2019-12-01,1036.1
foreign,Assets,Bank credit,2020-01-01,1028.7
foreign,Assets,Bank credit,2020-02-01,1025.9
foreign,Assets,Bank credit,2020-03-01,1127
foreign,Assets,Bank credit,2020-04-01,1214.1
foreign,Assets,Bank credit,2020-05-01,1176.8
foreign,Assets,Bank credit,2020-06-01,1142.9
foreign,Assets,Bank credit,2020-07-08,1113.3
foreign,Assets,Bank credit,2020-07-15,1109.6
foreign,Assets,Bank credit,2020-07-22,1105.2
foreign,Assets,Bank credit,2020-07-29,1105.7
foreign,Assets,Securities in bank credit ,2019-06-01,278.5
foreign,Assets,Securities in bank credit ,2019-12-01,268.6
foreign,Assets,Securities in bank credit ,2020-01-01,266.6
foreign,Assets,Securities in bank credit ,2020-02-01,269.1
foreign,Assets,Securities in bank credit ,2020-03-01,282.6
foreign,Assets,Securities in bank credit ,2020-04-01,271
foreign,Assets,Securities in bank credit ,2020-05-01,266.6
foreign,Assets,Securities in bank credit ,2020-06-01,271.1
foreign,Assets,Securities in bank credit ,2020-07-08,270
foreign,Assets,Securities in bank credit ,2020-07-15,269.8
foreign,Assets,Securities in bank credit ,2020-07-22,264.8
foreign,Assets,Securities in bank credit ,2020-07-29,268.2
foreign,Assets,Treasury and agency securities ,2019-06-01,177.3
foreign,Assets,Treasury and agency securities ,2019-12-01,177.7
foreign,Assets,Treasury and agency securities ,2020-01-01,175.4
foreign,Assets,Treasury and agency securities ,2020-02-01,176
foreign,Assets,Treasury and agency securities ,2020-03-01,187.6
foreign,Assets,Treasury and agency securities ,2020-04-01,174
foreign,Assets,Treasury and agency securities ,2020-05-01,168.5
foreign,Assets,Treasury and agency securities ,2020-06-01,174.8
foreign,Assets,Treasury and agency securities ,2020-07-08,172.8
foreign,Assets,Treasury and agency securities ,2020-07-15,171.8
foreign,Assets,Treasury and agency securities ,2020-07-22,168.7
foreign,Assets,Treasury and agency securities ,2020-07-29,171.4
foreign,Assets,Mortgage-backed securities (MBS) ,2019-06-01,27.9
foreign,Assets,Mortgage-backed securities (MBS) ,2019-12-01,39.5
foreign,Assets,Mortgage-backed securities (MBS) ,2020-01-01,38.2
foreign,Assets,Mortgage-backed securities (MBS) ,2020-02-01,39.7
foreign,Assets,Mortgage-backed securities (MBS) ,2020-03-01,43.5
foreign,Assets,Mortgage-backed securities (MBS) ,2020-04-01,45.6
foreign,Assets,Mortgage-backed securities (MBS) ,2020-05-01,42.9
foreign,Assets,Mortgage-backed securities (MBS) ,2020-06-01,43.3
foreign,Assets,Mortgage-backed securities (MBS) ,2020-07-08,41.7
foreign,Assets,Mortgage-backed securities (MBS) ,2020-07-15,41.6
foreign,Assets,Mortgage-backed securities (MBS) ,2020-07-22,44.1
foreign,Assets,Mortgage-backed securities (MBS) ,2020-07-29,44.2
foreign,Assets,Non-MBS ,2019-06-01,149.4
foreign,Assets,Non-MBS ,2019-12-01,138.2
foreign,Assets,Non-MBS ,2020-01-01,137.3
foreign,Assets,Non-MBS ,2020-02-01,136.3
foreign,Assets,Non-MBS ,2020-03-01,144
foreign,Assets,Non-MBS ,2020-04-01,128.4
foreign,Assets,Non-MBS ,2020-05-01,125.6
foreign,Assets,Non-MBS ,2020-06-01,131.6
foreign,Assets,Non-MBS ,2020-07-08,131.1
foreign,Assets,Non-MBS ,2020-07-15,130.2
foreign,Assets,Non-MBS ,2020-07-22,124.6
foreign,Assets,Non-MBS ,2020-07-29,127.3
foreign,Assets,Other securities,2019-06-01,101.2
foreign,Assets,Other securities,2019-12-01,90.9
foreign,Assets,Other securities,2020-01-01,91.1
foreign,Assets,Other securities,2020-02-01,93.1
foreign,Assets,Other securities,2020-03-01,95
foreign,Assets,Other securities,2020-04-01,97
foreign,Assets,Other securities,2020-05-01,98.2
foreign,Assets,Other securities,2020-06-01,96.3
foreign,Assets,Other securities,2020-07-08,97.2
foreign,Assets,Other securities,2020-07-15,98
foreign,Assets,Other securities,2020-07-22,96
foreign,Assets,Other securities,2020-07-29,96.8
foreign,Assets,Mortgage-backed securities (MBS) ,2019-06-01,1.8
foreign,Assets,Mortgage-backed securities (MBS) ,2019-12-01,1.8
foreign,Assets,Mortgage-backed securities (MBS) ,2020-01-01,1.8
foreign,Assets,Mortgage-backed securities (MBS) ,2020-02-01,1.7
foreign,Assets,Mortgage-backed securities (MBS) ,2020-03-01,1.7
foreign,Assets,Mortgage-backed securities (MBS) ,2020-04-01,1.7
foreign,Assets,Mortgage-backed securities (MBS) ,2020-05-01,1.9
foreign,Assets,Mortgage-backed securities (MBS) ,2020-06-01,1.9
foreign,Assets,Mortgage-backed securities (MBS) ,2020-07-08,1.7
foreign,Assets,Mortgage-backed securities (MBS) ,2020-07-15,1.7
foreign,Assets,Mortgage-backed securities (MBS) ,2020-07-22,1.6
foreign,Assets,Mortgage-backed securities (MBS) ,2020-07-29,1.7
foreign,Assets,Non-MBS ,2019-06-01,99.4
foreign,Assets,Non-MBS ,2019-12-01,89
foreign,Assets,Non-MBS ,2020-01-01,89.3
foreign,Assets,Non-MBS ,2020-02-01,91.5
foreign,Assets,Non-MBS ,2020-03-01,93.4
foreign,Assets,Non-MBS ,2020-04-01,95.3
foreign,Assets,Non-MBS ,2020-05-01,96.3
foreign,Assets,Non-MBS ,2020-06-01,94.4
foreign,Assets,Non-MBS ,2020-07-08,95.5
foreign,Assets,Non-MBS ,2020-07-15,96.3
foreign,Assets,Non-MBS ,2020-07-22,94.4
foreign,Assets,Non-MBS ,2020-07-29,95.1
foreign,Assets,Loans and leases in bank credit ,2019-06-01,755.7
foreign,Assets,Loans and leases in bank credit ,2019-12-01,767.5
foreign,Assets,Loans and leases in bank credit ,2020-01-01,762.1
foreign,Assets,Loans and leases in bank credit ,2020-02-01,756.7
foreign,Assets,Loans and leases in bank credit ,2020-03-01,844.4
foreign,Assets,Loans and leases in bank credit ,2020-04-01,943.1
foreign,Assets,Loans and leases in bank credit ,2020-05-01,910.1
foreign,Assets,Loans and leases in bank credit ,2020-06-01,871.7
foreign,Assets,Loans and leases in bank credit ,2020-07-08,843.3
foreign,Assets,Loans and leases in bank credit ,2020-07-15,839.8
foreign,Assets,Loans and leases in bank credit ,2020-07-22,840.4
foreign,Assets,Loans and leases in bank credit ,2020-07-29,837.5
foreign,Assets,Commercial and industrial loans,2019-06-01,391.7
foreign,Assets,Commercial and industrial loans,2019-12-01,395.4
foreign,Assets,Commercial and industrial loans,2020-01-01,392.1
foreign,Assets,Commercial and industrial loans,2020-02-01,389.5
foreign,Assets,Commercial and industrial loans,2020-03-01,458.5
foreign,Assets,Commercial and industrial loans,2020-04-01,544.1
foreign,Assets,Commercial and industrial loans,2020-05-01,509.4
foreign,Assets,Commercial and industrial loans,2020-06-01,476.4
foreign,Assets,Commercial and industrial loans,2020-07-08,457.1
foreign,Assets,Commercial and industrial loans,2020-07-15,456
foreign,Assets,Commercial and industrial loans,2020-07-22,459
foreign,Assets,Commercial and industrial loans,2020-07-29,455.4
foreign,Assets,Real estate loans,2019-06-01,83.1
foreign,Assets,Real estate loans,2019-12-01,83.8
foreign,Assets,Real estate loans,2020-01-01,85
foreign,Assets,Real estate loans,2020-02-01,86.5
foreign,Assets,Real estate loans,2020-03-01,86.7
foreign,Assets,Real estate loans,2020-04-01,88.3
foreign,Assets,Real estate loans,2020-05-01,87.5
foreign,Assets,Real estate loans,2020-06-01,85.8
foreign,Assets,Real estate loans,2020-07-08,86.3
foreign,Assets,Real estate loans,2020-07-15,86.2
foreign,Assets,Real estate loans,2020-07-22,85.8
foreign,Assets,Real estate loans,2020-07-29,85.4
foreign,Assets,Residential real estate loans,2019-06-01,1.5
foreign,Assets,Residential real estate loans,2019-12-01,1.6
foreign,Assets,Residential real estate loans,2020-01-01,1.5
foreign,Assets,Residential real estate loans,2020-02-01,1.6
foreign,Assets,Residential real estate loans,2020-03-01,1.2
foreign,Assets,Residential real estate loans,2020-04-01,1.4
foreign,Assets,Residential real estate loans,2020-05-01,1.5
foreign,Assets,Residential real estate loans,2020-06-01,1.5
foreign,Assets,Residential real estate loans,2020-07-08,1.6
foreign,Assets,Residential real estate loans,2020-07-15,1.5
foreign,Assets,Residential real estate loans,2020-07-22,1.5
foreign,Assets,Residential real estate loans,2020-07-29,1.4
foreign,Assets,Revolving home equity loans,2019-06-01,0.2
foreign,Assets,Revolving home equity loans,2019-12-01,0.6
foreign,Assets,Revolving home equity loans,2020-01-01,0.6
foreign,Assets,Revolving home equity loans,2020-02-01,0.8
foreign,Assets,Revolving home equity loans,2020-03-01,0.3
foreign,Assets,Revolving home equity loans,2020-04-01,0.5
foreign,Assets,Revolving home equity loans,2020-05-01,0.5
foreign,Assets,Revolving home equity loans,2020-06-01,0.6
foreign,Assets,Revolving home equity loans,2020-07-08,0.6
foreign,Assets,Revolving home equity loans,2020-07-15,0.6
foreign,Assets,Revolving home equity loans,2020-07-22,0.6
foreign,Assets,Revolving home equity loans,2020-07-29,0.6
foreign,Assets,Closed-end residential loans ,2019-06-01,1.3
foreign,Assets,Closed-end residential loans ,2019-12-01,1.1
foreign,Assets,Closed-end residential loans ,2020-01-01,0.9
foreign,Assets,Closed-end residential loans ,2020-02-01,0.9
foreign,Assets,Closed-end residential loans ,2020-03-01,0.9
foreign,Assets,Closed-end residential loans ,2020-04-01,0.9
foreign,Assets,Closed-end residential loans ,2020-05-01,1
foreign,Assets,Closed-end residential loans ,2020-06-01,0.9
foreign,Assets,Closed-end residential loans ,2020-07-08,1
foreign,Assets,Closed-end residential loans ,2020-07-15,0.9
foreign,Assets,Closed-end residential loans ,2020-07-22,0.9
foreign,Assets,Closed-end residential loans ,2020-07-29,0.8
foreign,Assets,Commercial real estate loans,2019-06-01,81.6
foreign,Assets,Commercial real estate loans,2019-12-01,82.2
foreign,Assets,Commercial real estate loans,2020-01-01,83.5
foreign,Assets,Commercial real estate loans,2020-02-01,84.9
foreign,Assets,Commercial real estate loans,2020-03-01,85.5
foreign,Assets,Commercial real estate loans,2020-04-01,86.9
foreign,Assets,Commercial real estate loans,2020-05-01,86
foreign,Assets,Commercial real estate loans,2020-06-01,84.3
foreign,Assets,Commercial real estate loans,2020-07-08,84.6
foreign,Assets,Commercial real estate loans,2020-07-15,84.7
foreign,Assets,Commercial real estate loans,2020-07-22,84.3
foreign,Assets,Commercial real estate loans,2020-07-29,83.9
foreign,Assets,Construction and land development loans ,2019-06-01,12.5
foreign,Assets,Construction and land development loans ,2019-12-01,12.2
foreign,Assets,Construction and land development loans ,2020-01-01,12.3
foreign,Assets,Construction and land development loans ,2020-02-01,12.1
foreign,Assets,Construction and land development loans ,2020-03-01,12
foreign,Assets,Construction and land development loans ,2020-04-01,12.1
foreign,Assets,Construction and land development loans ,2020-05-01,12.2
foreign,Assets,Construction and land development loans ,2020-06-01,12.5
foreign,Assets,Construction and land development loans ,2020-07-08,12.2
foreign,Assets,Construction and land development loans ,2020-07-15,12.5
foreign,Assets,Construction and land development loans ,2020-07-22,12.4
foreign,Assets,Construction and land development loans ,2020-07-29,12.4
foreign,Assets,Secured by farmland ,2019-06-01,0.2
foreign,Assets,Secured by farmland ,2019-12-01,0.2
foreign,Assets,Secured by farmland ,2020-01-01,0.2
foreign,Assets,Secured by farmland ,2020-02-01,0.2
foreign,Assets,Secured by farmland ,2020-03-01,0.2
foreign,Assets,Secured by farmland ,2020-04-01,0.2
foreign,Assets,Secured by farmland ,2020-05-01,0.2
foreign,Assets,Secured by farmland ,2020-06-01,0.2
foreign,Assets,Secured by farmland ,2020-07-08,0.2
foreign,Assets,Secured by farmland ,2020-07-15,0.2
foreign,Assets,Secured by farmland ,2020-07-22,0.2
foreign,Assets,Secured by farmland ,2020-07-29,0.2
foreign,Assets,Secured by multifamily properties ,2019-06-01,8.3
foreign,Assets,Secured by multifamily properties ,2019-12-01,9.4
foreign,Assets,Secured by multifamily properties ,2020-01-01,9.6
foreign,Assets,Secured by multifamily properties ,2020-02-01,9.9
foreign,Assets,Secured by multifamily properties ,2020-03-01,9.9
foreign,Assets,Secured by multifamily properties ,2020-04-01,10.4
foreign,Assets,Secured by multifamily properties ,2020-05-01,10.4
foreign,Assets,Secured by multifamily properties ,2020-06-01,10.5
foreign,Assets,Secured by multifamily properties ,2020-07-08,10.6
foreign,Assets,Secured by multifamily properties ,2020-07-15,10.8
foreign,Assets,Secured by multifamily properties ,2020-07-22,10.9
foreign,Assets,Secured by multifamily properties ,2020-07-29,11.1
foreign,Assets,Secured by nonfarm nonresidential properties ,2019-06-01,60.5
foreign,Assets,Secured by nonfarm nonresidential properties ,2019-12-01,60.4
foreign,Assets,Secured by nonfarm nonresidential properties ,2020-01-01,61.4
foreign,Assets,Secured by nonfarm nonresidential properties ,2020-02-01,62.7
foreign,Assets,Secured by nonfarm nonresidential properties ,2020-03-01,63.4
foreign,Assets,Secured by nonfarm nonresidential properties ,2020-04-01,64.2
foreign,Assets,Secured by nonfarm nonresidential properties ,2020-05-01,63.2
foreign,Assets,Secured by nonfarm nonresidential properties ,2020-06-01,61.1
foreign,Assets,Secured by nonfarm nonresidential properties ,2020-07-08,61.6
foreign,Assets,Secured by nonfarm nonresidential properties ,2020-07-15,61.2
foreign,Assets,Secured by nonfarm nonresidential properties ,2020-07-22,60.9
foreign,Assets,Secured by nonfarm nonresidential properties ,2020-07-29,60.3
foreign,Assets,Consumer loans,2019-06-01,3.4
foreign,Assets,Consumer loans,2019-12-01,3.5
foreign,Assets,Consumer loans,2020-01-01,3.5
foreign,Assets,Consumer loans,2020-02-01,3.5
foreign,Assets,Consumer loans,2020-03-01,3.5
foreign,Assets,Consumer loans,2020-04-01,3.5
foreign,Assets,Consumer loans,2020-05-01,3.5
foreign,Assets,Consumer loans,2020-06-01,3.4
foreign,Assets,Consumer loans,2020-07-08,3.2
foreign,Assets,Consumer loans,2020-07-15,3.2
foreign,Assets,Consumer loans,2020-07-22,3.2
foreign,Assets,Consumer loans,2020-07-29,3.3
foreign,Assets,Credit cards and other revolving plans,2019-06-01,0
foreign,Assets,Credit cards and other revolving plans,2019-12-01,0
foreign,Assets,Credit cards and other revolving plans,2020-01-01,0
foreign,Assets,Credit cards and other revolving plans,2020-02-01,0
foreign,Assets,Credit cards and other revolving plans,2020-03-01,0
foreign,Assets,Credit cards and other revolving plans,2020-04-01,0
foreign,Assets,Credit cards and other revolving plans,2020-05-01,0
foreign,Assets,Credit cards and other revolving plans,2020-06-01,0
foreign,Assets,Credit cards and other revolving plans,2020-07-08,0
foreign,Assets,Credit cards and other revolving plans,2020-07-15,0
foreign,Assets,Credit cards and other revolving plans,2020-07-22,0
foreign,Assets,Credit cards and other revolving plans,2020-07-29,0
foreign,Assets,Other consumer loans,2019-06-01,3.4
foreign,Assets,Other consumer loans,2019-12-01,3.5
foreign,Assets,Other consumer loans,2020-01-01,3.5
foreign,Assets,Other consumer loans,2020-02-01,3.5
foreign,Assets,Other consumer loans,2020-03-01,3.5
foreign,Assets,Other consumer loans,2020-04-01,3.5
foreign,Assets,Other consumer loans,2020-05-01,3.5
foreign,Assets,Other consumer loans,2020-06-01,3.4
foreign,Assets,Other consumer loans,2020-07-08,3.2
foreign,Assets,Other consumer loans,2020-07-15,3.2
foreign,Assets,Other consumer loans,2020-07-22,3.2
foreign,Assets,Other consumer loans,2020-07-29,3.3
foreign,Assets,Automobile loans ,2019-06-01,0
foreign,Assets,Automobile loans ,2019-12-01,0
foreign,Assets,Automobile loans ,2020-01-01,0
foreign,Assets,Automobile loans ,2020-02-01,0
foreign,Assets,Automobile loans ,2020-03-01,0
foreign,Assets,Automobile loans ,2020-04-01,0
foreign,Assets,Automobile loans ,2020-05-01,0
foreign,Assets,Automobile loans ,2020-06-01,0
foreign,Assets,Automobile loans ,2020-07-08,0
foreign,Assets,Automobile loans ,2020-07-15,0
foreign,Assets,Automobile loans ,2020-07-22,0
foreign,Assets,Automobile loans ,2020-07-29,0
foreign,Assets,All other consumer loans ,2019-06-01,3.4
foreign,Assets,All other consumer loans ,2019-12-01,3.5
foreign,Assets,All other consumer loans ,2020-01-01,3.5
foreign,Assets,All other consumer loans ,2020-02-01,3.5
foreign,Assets,All other consumer loans ,2020-03-01,3.5
foreign,Assets,All other consumer loans ,2020-04-01,3.5
foreign,Assets,All other consumer loans ,2020-05-01,3.5
foreign,Assets,All other consumer loans ,2020-06-01,3.4
foreign,Assets,All other consumer loans ,2020-07-08,3.2
foreign,Assets,All other consumer loans ,2020-07-15,3.2
foreign,Assets,All other consumer loans ,2020-07-22,3.2
foreign,Assets,All other consumer loans ,2020-07-29,3.3
foreign,Assets,All other loans and leases,2019-06-01,277.5
foreign,Assets,All other loans and leases,2019-12-01,284.8
foreign,Assets,All other loans and leases,2020-01-01,281.5
foreign,Assets,All other loans and leases,2020-02-01,277.2
foreign,Assets,All other loans and leases,2020-03-01,295.7
foreign,Assets,All other loans and leases,2020-04-01,307.2
foreign,Assets,All other loans and leases,2020-05-01,309.7
foreign,Assets,All other loans and leases,2020-06-01,306.2
foreign,Assets,All other loans and leases,2020-07-08,296.6
foreign,Assets,All other loans and leases,2020-07-15,294.4
foreign,Assets,All other loans and leases,2020-07-22,292.4
foreign,Assets,All other loans and leases,2020-07-29,293.4
foreign,Assets,Loans to nondepository financial institutions ,2019-06-01,119.5
foreign,Assets,Loans to nondepository financial institutions ,2019-12-01,117.3
foreign,Assets,Loans to nondepository financial institutions ,2020-01-01,116.6
foreign,Assets,Loans to nondepository financial institutions ,2020-02-01,113.9
foreign,Assets,Loans to nondepository financial institutions ,2020-03-01,124.5
foreign,Assets,Loans to nondepository financial institutions ,2020-04-01,131.8
foreign,Assets,Loans to nondepository financial institutions ,2020-05-01,136
foreign,Assets,Loans to nondepository financial institutions ,2020-06-01,139.9
foreign,Assets,Loans to nondepository financial institutions ,2020-07-08,135.4
foreign,Assets,Loans to nondepository financial institutions ,2020-07-15,132.6
foreign,Assets,Loans to nondepository financial institutions ,2020-07-22,131.3
foreign,Assets,Loans to nondepository financial institutions ,2020-07-29,132.3
foreign,Assets,All loans not elsewhere classified ,2019-06-01,157.9
foreign,Assets,All loans not elsewhere classified ,2019-12-01,167.5
foreign,Assets,All loans not elsewhere classified ,2020-01-01,164.9
foreign,Assets,All loans not elsewhere classified ,2020-02-01,163.3
foreign,Assets,All loans not elsewhere classified ,2020-03-01,171.2
foreign,Assets,All loans not elsewhere classified ,2020-04-01,175.4
foreign,Assets,All loans not elsewhere classified ,2020-05-01,173.7
foreign,Assets,All loans not elsewhere classified ,2020-06-01,166.3
foreign,Assets,All loans not elsewhere classified ,2020-07-08,161.2
foreign,Assets,All loans not elsewhere classified ,2020-07-15,161.8
foreign,Assets,All loans not elsewhere classified ,2020-07-22,161
foreign,Assets,All loans not elsewhere classified ,2020-07-29,161.1
foreign,Assets,LESS: Allowance for loan and lease losses,2019-06-01,1
foreign,Assets,LESS: Allowance for loan and lease losses,2019-12-01,1.1
foreign,Assets,LESS: Allowance for loan and lease losses,2020-01-01,1.3
foreign,Assets,LESS: Allowance for loan and lease losses,2020-02-01,1.2
foreign,Assets,LESS: Allowance for loan and lease losses,2020-03-01,1.2
foreign,Assets,LESS: Allowance for loan and lease losses,2020-04-01,1.3
foreign,Assets,LESS: Allowance for loan and lease losses,2020-05-01,1.3
foreign,Assets,LESS: Allowance for loan and lease losses,2020-06-01,1.4
foreign,Assets,LESS: Allowance for loan and lease losses,2020-07-08,1.5
foreign,Assets,LESS: Allowance for loan and lease losses,2020-07-15,1.5
foreign,Assets,LESS: Allowance for loan and lease losses,2020-07-22,1.3
foreign,Assets,LESS: Allowance for loan and lease losses,2020-07-29,1.4
foreign,Assets,Cash assets ,2019-06-01,571.7
foreign,Assets,Cash assets ,2019-12-01,655.6
foreign,Assets,Cash assets ,2020-01-01,641.9
foreign,Assets,Cash assets ,2020-02-01,624.1
foreign,Assets,Cash assets ,2020-03-01,788.5
foreign,Assets,Cash assets ,2020-04-01,1109.5
foreign,Assets,Cash assets ,2020-05-01,955.3
foreign,Assets,Cash assets ,2020-06-01,753.2
foreign,Assets,Cash assets ,2020-07-08,671
foreign,Assets,Cash assets ,2020-07-15,630.2
foreign,Assets,Cash assets ,2020-07-22,667.6
foreign,Assets,Cash assets ,2020-07-29,668.1
foreign,Assets,Total federal funds sold and reverse RPs ,2019-06-01,446.6
foreign,Assets,Total federal funds sold and reverse RPs ,2019-12-01,426.4
foreign,Assets,Total federal funds sold and reverse RPs ,2020-01-01,423.8
foreign,Assets,Total federal funds sold and reverse RPs ,2020-02-01,444
foreign,Assets,Total federal funds sold and reverse RPs ,2020-03-01,419.8
foreign,Assets,Total federal funds sold and reverse RPs ,2020-04-01,364.4
foreign,Assets,Total federal funds sold and reverse RPs ,2020-05-01,361.8
foreign,Assets,Total federal funds sold and reverse RPs ,2020-06-01,363.5
foreign,Assets,Total federal funds sold and reverse RPs ,2020-07-08,341.8
foreign,Assets,Total federal funds sold and reverse RPs ,2020-07-15,355.1
foreign,Assets,Total federal funds sold and reverse RPs ,2020-07-22,340
foreign,Assets,Total federal funds sold and reverse RPs ,2020-07-29,341
foreign,Assets,Loans to commercial banks ,2019-06-01,2.6
foreign,Assets,Loans to commercial banks ,2019-12-01,2
foreign,Assets,Loans to commercial banks ,2020-01-01,1.6
foreign,Assets,Loans to commercial banks ,2020-02-01,1.5
foreign,Assets,Loans to commercial banks ,2020-03-01,1.5
foreign,Assets,Loans to commercial banks ,2020-04-01,1.3
foreign,Assets,Loans to commercial banks ,2020-05-01,0.6
foreign,Assets,Loans to commercial banks ,2020-06-01,1
foreign,Assets,Loans to commercial banks ,2020-07-08,1.4
foreign,Assets,Loans to commercial banks ,2020-07-15,1.4
foreign,Assets,Loans to commercial banks ,2020-07-22,1.5
foreign,Assets,Loans to commercial banks ,2020-07-29,1.6
foreign,Assets,Other assets including trading assets ,2019-06-01,132.1
foreign,Assets,Other assets including trading assets ,2019-12-01,129.5
foreign,Assets,Other assets including trading assets ,2020-01-01,129.6
foreign,Assets,Other assets including trading assets ,2020-02-01,125.9
foreign,Assets,Other assets including trading assets ,2020-03-01,168.4
foreign,Assets,Other assets including trading assets ,2020-04-01,169.2
foreign,Assets,Other assets including trading assets ,2020-05-01,166.1
foreign,Assets,Other assets including trading assets ,2020-06-01,158.9
foreign,Assets,Other assets including trading assets ,2020-07-08,159
foreign,Assets,Other assets including trading assets ,2020-07-15,156.3
foreign,Assets,Other assets including trading assets ,2020-07-22,167.4
foreign,Assets,Other assets including trading assets ,2020-07-29,174.1
foreign,Assets,Total assets,2019-06-01,2186.2
foreign,Assets,Total assets,2019-12-01,2248.4
foreign,Assets,Total assets,2020-01-01,2224.4
foreign,Assets,Total assets,2020-02-01,2220.3
foreign,Assets,Total assets,2020-03-01,2503.9
foreign,Assets,Total assets,2020-04-01,2857.3
foreign,Assets,Total assets,2020-05-01,2659.2
foreign,Assets,Total assets,2020-06-01,2418.1
foreign,Assets,Total assets,2020-07-08,2285
foreign,Assets,Total assets,2020-07-15,2251.1
foreign,Assets,Total assets,2020-07-22,2280.3
foreign,Assets,Total assets,2020-07-29,2289.2
foreign,Liabilities,Deposits,2019-06-01,1017.1
foreign,Liabilities,Deposits,2019-12-01,1089
foreign,Liabilities,Deposits,2020-01-01,1082.9
foreign,Liabilities,Deposits,2020-02-01,1088.3
foreign,Liabilities,Deposits,2020-03-01,1053.9
foreign,Liabilities,Deposits,2020-04-01,1127
foreign,Liabilities,Deposits,2020-05-01,1159.8
foreign,Liabilities,Deposits,2020-06-01,1161.5
foreign,Liabilities,Deposits,2020-07-08,1173
foreign,Liabilities,Deposits,2020-07-15,1162.4
foreign,Liabilities,Deposits,2020-07-22,1179.6
foreign,Liabilities,Deposits,2020-07-29,1180.5
foreign,Liabilities,Large time deposits,2019-06-01,728.2
foreign,Liabilities,Large time deposits,2019-12-01,789.5
foreign,Liabilities,Large time deposits,2020-01-01,783.5
foreign,Liabilities,Large time deposits,2020-02-01,779.5
foreign,Liabilities,Large time deposits,2020-03-01,719.8
foreign,Liabilities,Large time deposits,2020-04-01,743.9
foreign,Liabilities,Large time deposits,2020-05-01,769
foreign,Liabilities,Large time deposits,2020-06-01,774.3
foreign,Liabilities,Large time deposits,2020-07-08,779.7
foreign,Liabilities,Large time deposits,2020-07-15,776.7
foreign,Liabilities,Large time deposits,2020-07-22,796.2
foreign,Liabilities,Large time deposits,2020-07-29,798.6
foreign,Liabilities,Other deposits,2019-06-01,289
foreign,Liabilities,Other deposits,2019-12-01,299.6
foreign,Liabilities,Other deposits,2020-01-01,299.3
foreign,Liabilities,Other deposits,2020-02-01,308.7
foreign,Liabilities,Other deposits,2020-03-01,334.1
foreign,Liabilities,Other deposits,2020-04-01,383.1
foreign,Liabilities,Other deposits,2020-05-01,390.8
foreign,Liabilities,Other deposits,2020-06-01,387.2
foreign,Liabilities,Other deposits,2020-07-08,393.3
foreign,Liabilities,Other deposits,2020-07-15,385.6
foreign,Liabilities,Other deposits,2020-07-22,383.3
foreign,Liabilities,Other deposits,2020-07-29,381.9
foreign,Liabilities,Borrowings,2019-06-01,877.4
foreign,Liabilities,Borrowings,2019-12-01,905.7
foreign,Liabilities,Borrowings,2020-01-01,904.1
foreign,Liabilities,Borrowings,2020-02-01,916.7
foreign,Liabilities,Borrowings,2020-03-01,1029.1
foreign,Liabilities,Borrowings,2020-04-01,1044.6
foreign,Liabilities,Borrowings,2020-05-01,981.5
foreign,Liabilities,Borrowings,2020-06-01,876.9
foreign,Liabilities,Borrowings,2020-07-08,830.9
foreign,Liabilities,Borrowings,2020-07-15,847.1
foreign,Liabilities,Borrowings,2020-07-22,879.2
foreign,Liabilities,Borrowings,2020-07-29,846.4
foreign,Liabilities,Net due to related foreign offices,2019-06-01,168.2
foreign,Liabilities,Net due to related foreign offices,2019-12-01,127.8
